"CODE_WB","COUNTRY","region_group","REGION_NAME"
"ASM","American Samoa","EAS","East Asia & Pacific"
"AUS","Australia","EAS","East Asia & Pacific"
"BRN","Brunei Darussalam","EAS","East Asia & Pacific"
"CHN","China","EAS","East Asia & Pacific"
"FJI","Fiji","EAS","East Asia & Pacific"
"FSM","Micronesia, Fed. Sts.","EAS","East Asia & Pacific"
"GUM","Guam","EAS","East Asia & Pacific"
"HKG","Hong Kong SAR, China","EAS","East Asia & Pacific"
"IDN","Indonesia","EAS","East Asia & Pacific"
"JPN","Japan","EAS","East Asia & Pacific"
"KHM","Cambodia","EAS","East Asia & Pacific"
"KIR","Kiribati","EAS","East Asia & Pacific"
"KOR","Korea, Rep.","EAS","East Asia & Pacific"
"LAO","Lao PDR","EAS","East Asia & Pacific"
"MAC","Macao SAR, China","EAS","East Asia & Pacific"
"MHL","Marshall Islands","EAS","East Asia & Pacific"
"MMR","Myanmar","EAS","East Asia & Pacific"
"MNG","Mongolia","EAS","East Asia & Pacific"
"MNP","Northern Mariana Islands","EAS","East Asia & Pacific"
"MYS","Malaysia","EAS","East Asia & Pacific"
"NCL","New Caledonia","EAS","East Asia & Pacific"
"NRU","Nauru","EAS","East Asia & Pacific"
"NZL","New Zealand","EAS","East Asia & Pacific"
"PHL","Philippines","EAS","East Asia & Pacific"
"PLW","Palau","EAS","East Asia & Pacific"
"PNG","Papua New Guinea","EAS","East Asia & Pacific"
"PRK","Korea, Dem. People's Rep.","EAS","East Asia & Pacific"
"PYF","French Polynesia","EAS","East Asia & Pacific"
"SGP","Singapore","EAS","East Asia & Pacific"
"SLB","Solomon Islands","EAS","East Asia & Pacific"
"THA","Thailand","EAS","East Asia & Pacific"
"TLS","Timor-Leste","EAS","East Asia & Pacific"
"TON","Tonga","EAS","East Asia & Pacific"
"TUV","Tuvalu","EAS","East Asia & Pacific"
"TWN","Taiwan, China","EAS","East Asia & Pacific"
"VNM","Vietnam","EAS","East Asia & Pacific"
"VUT","Vanuatu","EAS","East Asia & Pacific"
"WSM","Samoa","EAS","East Asia & Pacific"
"ALB","Albania","ECS","Europe & Central Asia"
"AND","Andorra","ECS","Europe & Central Asia"
"ARM","Armenia","ECS","Europe & Central Asia"
"AUT","Austria","ECS","Europe & Central Asia"
"AZE","Azerbaijan","ECS","Europe & Central Asia"
"BEL","Belgium","ECS","Europe & Central Asia"
"BGR","Bulgaria","ECS","Europe & Central Asia"
"BIH","Bosnia and Herzegovina","ECS","Europe & Central Asia"
"BLR","Belarus","ECS","Europe & Central Asia"
"CHE","Switzerland","ECS","Europe & Central Asia"
"CHI","Channel Islands","ECS","Europe & Central Asia"
"CYP","Cyprus","ECS","Europe & Central Asia"
"CZE","Czech Republic","ECS","Europe & Central Asia"
"DEU","Germany","ECS","Europe & Central Asia"
"DNK","Denmark","ECS","Europe & Central Asia"
"ESP","Spain","ECS","Europe & Central Asia"
"EST","Estonia","ECS","Europe & Central Asia"
"FIN","Finland","ECS","Europe & Central Asia"
"FRA","France","ECS","Europe & Central Asia"
"FRO","Faroe Islands","ECS","Europe & Central Asia"
"GBR","United Kingdom","ECS","Europe & Central Asia"
"GEO","Georgia","ECS","Europe & Central Asia"
"GIB","Gibraltar","ECS","Europe & Central Asia"
"GRC","Greece","ECS","Europe & Central Asia"
"GRL","Greenland","ECS","Europe & Central Asia"
"HRV","Croatia","ECS","Europe & Central Asia"
"HUN","Hungary","ECS","Europe & Central Asia"
"IMN","Isle of Man","ECS","Europe & Central Asia"
"IRL","Ireland","ECS","Europe & Central Asia"
"ISL","Iceland","ECS","Europe & Central Asia"
"ITA","Italy","ECS","Europe & Central Asia"
"KAZ","Kazakhstan","ECS","Europe & Central Asia"
"KGZ","Kyrgyz Republic","ECS","Europe & Central Asia"
"LIE","Liechtenstein","ECS","Europe & Central Asia"
"LTU","Lithuania","ECS","Europe & Central Asia"
"LUX","Luxembourg","ECS","Europe & Central Asia"
"LVA","Latvia","ECS","Europe & Central Asia"
"MCO","Monaco","ECS","Europe & Central Asia"
"MDA","Moldova","ECS","Europe & Central Asia"
"MKD","North Macedonia","ECS","Europe & Central Asia"
"MNE","Montenegro","ECS","Europe & Central Asia"
"NLD","Netherlands","ECS","Europe & Central Asia"
"NOR","Norway","ECS","Europe & Central Asia"
"POL","Poland","ECS","Europe & Central Asia"
"PRT","Portugal","ECS","Europe & Central Asia"
"ROU","Romania","ECS","Europe & Central Asia"
"RUS","Russian Federation","ECS","Europe & Central Asia"
"SMR","San Marino","ECS","Europe & Central Asia"
"SRB","Serbia","ECS","Europe & Central Asia"
"SVK","Slovak Republic","ECS","Europe & Central Asia"
"SVN","Slovenia","ECS","Europe & Central Asia"
"SWE","Sweden","ECS","Europe & Central Asia"
"TJK","Tajikistan","ECS","Europe & Central Asia"
"TKM","Turkmenistan","ECS","Europe & Central Asia"
"TUR","Turkey","ECS","Europe & Central Asia"
"UKR","Ukraine","ECS","Europe & Central Asia"
"UZB","Uzbekistan","ECS","Europe & Central Asia"
"XKX","Kosovo","ECS","Europe & Central Asia"
"AUT","Austria","EUU","European Union"
"BEL","Belgium","EUU","European Union"
"BGR","Bulgaria","EUU","European Union"
"CYP","Cyprus","EUU","European Union"
"CZE","Czech Republic","EUU","European Union"
"DEU","Germany","EUU","European Union"
"DNK","Denmark","EUU","European Union"
"ESP","Spain","EUU","European Union"
"EST","Estonia","EUU","European Union"
"FIN","Finland","EUU","European Union"
"FRA","France","EUU","European Union"
"GRC","Greece","EUU","European Union"
"HRV","Croatia","EUU","European Union"
"HUN","Hungary","EUU","European Union"
"IRL","Ireland","EUU","European Union"
"ITA","Italy","EUU","European Union"
"LTU","Lithuania","EUU","European Union"
"LUX","Luxembourg","EUU","European Union"
"LVA","Latvia","EUU","European Union"
"MLT","Malta","EUU","European Union"
"NLD","Netherlands","EUU","European Union"
"POL","Poland","EUU","European Union"
"PRT","Portugal","EUU","European Union"
"ROU","Romania","EUU","European Union"
"SVK","Slovak Republic","EUU","European Union"
"SVN","Slovenia","EUU","European Union"
"SWE","Sweden","EUU","European Union"
"ABW","Aruba","HIC","High income"
"AND","Andorra","HIC","High income"
"ARE","United Arab Emirates","HIC","High income"
"ATG","Antigua and Barbuda","HIC","High income"
"AUS","Australia","HIC","High income"
"AUT","Austria","HIC","High income"
"BEL","Belgium","HIC","High income"
"BHR","Bahrain","HIC","High income"
"BHS","Bahamas, The","HIC","High income"
"BMU","Bermuda","HIC","High income"
"BRB","Barbados","HIC","High income"
"BRN","Brunei Darussalam","HIC","High income"
"CAN","Canada","HIC","High income"
"CHE","Switzerland","HIC","High income"
"CHI","Channel Islands","HIC","High income"
"CHL","Chile","HIC","High income"
"CUW","Curacao","HIC","High income"
"CUW","Curaçao","HIC","High income"
"CYM","Cayman Islands","HIC","High income"
"CYP","Cyprus","HIC","High income"
"CZE","Czech Republic","HIC","High income"
"DEU","Germany","HIC","High income"
"DNK","Denmark","HIC","High income"
"ESP","Spain","HIC","High income"
"EST","Estonia","HIC","High income"
"FIN","Finland","HIC","High income"
"FRA","France","HIC","High income"
"FRO","Faroe Islands","HIC","High income"
"GBR","United Kingdom","HIC","High income"
"GIB","Gibraltar","HIC","High income"
"GRC","Greece","HIC","High income"
"GRL","Greenland","HIC","High income"
"GUM","Guam","HIC","High income"
"HKG","Hong Kong SAR, China","HIC","High income"
"HRV","Croatia","HIC","High income"
"HUN","Hungary","HIC","High income"
"IMN","Isle of Man","HIC","High income"
"IRL","Ireland","HIC","High income"
"ISL","Iceland","HIC","High income"
"ISR","Israel","HIC","High income"
"ITA","Italy","HIC","High income"
"JPN","Japan","HIC","High income"
"KNA","St. Kitts and Nevis","HIC","High income"
"KOR","Korea, Rep.","HIC","High income"
"KWT","Kuwait","HIC","High income"
"LIE","Liechtenstein","HIC","High income"
"LTU","Lithuania","HIC","High income"
"LUX","Luxembourg","HIC","High income"
"LVA","Latvia","HIC","High income"
"MAC","Macao SAR, China","HIC","High income"
"MAF","St. Martin (French part)","HIC","High income"
"MCO","Monaco","HIC","High income"
"MLT","Malta","HIC","High income"
"MNP","Northern Mariana Islands","HIC","High income"
"MUS","Mauritius","HIC","High income"
"NCL","New Caledonia","HIC","High income"
"NLD","Netherlands","HIC","High income"
"NOR","Norway","HIC","High income"
"NRU","Nauru","HIC","High income"
"NZL","New Zealand","HIC","High income"
"OMN","Oman","HIC","High income"
"PAN","Panama","HIC","High income"
"PLW","Palau","HIC","High income"
"POL","Poland","HIC","High income"
"PRI","Puerto Rico","HIC","High income"
"PRT","Portugal","HIC","High income"
"PYF","French Polynesia","HIC","High income"
"QAT","Qatar","HIC","High income"
"ROU","Romania","HIC","High income"
"SAU","Saudi Arabia","HIC","High income"
"SGP","Singapore","HIC","High income"
"SMR","San Marino","HIC","High income"
"SVK","Slovak Republic","HIC","High income"
"SVN","Slovenia","HIC","High income"
"SWE","Sweden","HIC","High income"
"SXM","Sint Maarten (Dutch part)","HIC","High income"
"SYC","Seychelles","HIC","High income"
"TCA","Turks and Caicos Islands","HIC","High income"
"TTO","Trinidad and Tobago","HIC","High income"
"TWN","Taiwan, China","HIC","High income"
"URY","Uruguay","HIC","High income"
"USA","United States","HIC","High income"
"VGB","British Virgin Islands","HIC","High income"
"VIR","Virgin Islands (U.S.)","HIC","High income"
"ABW","Aruba","LCN","Latin America & Caribbean"
"ARG","Argentina","LCN","Latin America & Caribbean"
"ATG","Antigua and Barbuda","LCN","Latin America & Caribbean"
"BHS","Bahamas, The","LCN","Latin America & Caribbean"
"BLZ","Belize","LCN","Latin America & Caribbean"
"BOL","Bolivia","LCN","Latin America & Caribbean"
"BRA","Brazil","LCN","Latin America & Caribbean"
"BRB","Barbados","LCN","Latin America & Caribbean"
"CHL","Chile","LCN","Latin America & Caribbean"
"COL","Colombia","LCN","Latin America & Caribbean"
"CRI","Costa Rica","LCN","Latin America & Caribbean"
"CUB","Cuba","LCN","Latin America & Caribbean"
"CUW","Curacao","LCN","Latin America & Caribbean"
"CYM","Cayman Islands","LCN","Latin America & Caribbean"
"DMA","Dominica","LCN","Latin America & Caribbean"
"DOM","Dominican Republic","LCN","Latin America & Caribbean"
"ECU","Ecuador","LCN","Latin America & Caribbean"
"GRD","Grenada","LCN","Latin America & Caribbean"
"GTM","Guatemala","LCN","Latin America & Caribbean"
"GUY","Guyana","LCN","Latin America & Caribbean"
"HND","Honduras","LCN","Latin America & Caribbean"
"HTI","Haiti","LCN","Latin America & Caribbean"
"JAM","Jamaica","LCN","Latin America & Caribbean"
"KNA","St. Kitts and Nevis","LCN","Latin America & Caribbean"
"LCA","St. Lucia","LCN","Latin America & Caribbean"
"MAF","St. Martin (French part)","LCN","Latin America & Caribbean"
"MEX","Mexico","LCN","Latin America & Caribbean"
"NIC","Nicaragua","LCN","Latin America & Caribbean"
"PAN","Panama","LCN","Latin America & Caribbean"
"PER","Peru","LCN","Latin America & Caribbean"
"PRI","Puerto Rico","LCN","Latin America & Caribbean"
"PRY","Paraguay","LCN","Latin America & Caribbean"
"SLV","El Salvador","LCN","Latin America & Caribbean"
"SUR","Suriname","LCN","Latin America & Caribbean"
"SXM","Sint Maarten (Dutch part)","LCN","Latin America & Caribbean"
"TCA","Turks and Caicos Islands","LCN","Latin America & Caribbean"
"TTO","Trinidad and Tobago","LCN","Latin America & Caribbean"
"URY","Uruguay","LCN","Latin America & Caribbean"
"VCT","St. Vincent and the Grenadines","LCN","Latin America & Caribbean"
"VEN","Venezuela, RB","LCN","Latin America & Caribbean"
"VGB","British Virgin Islands","LCN","Latin America & Caribbean"
"VIR","Virgin Islands (U.S.)","LCN","Latin America & Caribbean"
"AFG","Afghanistan","LIC","Low income"
"BDI","Burundi","LIC","Low income"
"BFA","Burkina Faso","LIC","Low income"
"CAF","Central African Republic","LIC","Low income"
"COD","Congo, Dem. Rep.","LIC","Low income"
"ERI","Eritrea","LIC","Low income"
"ETH","Ethiopia","LIC","Low income"
"GIN","Guinea","LIC","Low income"
"GMB","Gambia, The","LIC","Low income"
"GNB","Guinea-Bissau","LIC","Low income"
"HTI","Haiti","LIC","Low income"
"LBR","Liberia","LIC","Low income"
"MDG","Madagascar","LIC","Low income"
"MLI","Mali","LIC","Low income"
"MOZ","Mozambique","LIC","Low income"
"MWI","Malawi","LIC","Low income"
"NER","Niger","LIC","Low income"
"PRK","Korea, Dem. People's Rep.","LIC","Low income"
"RWA","Rwanda","LIC","Low income"
"SDN","Sudan","LIC","Low income"
"SLE","Sierra Leone","LIC","Low income"
"SOM","Somalia","LIC","Low income"
"SSD","South Sudan","LIC","Low income"
"SYR","Syrian Arab Republic","LIC","Low income"
"TCD","Chad","LIC","Low income"
"TGO","Togo","LIC","Low income"
"TJK","Tajikistan","LIC","Low income"
"UGA","Uganda","LIC","Low income"
"YEM","Yemen, Rep.","LIC","Low income"
"AGO","Angola","LMC","Lower middle income"
"BEN","Benin","LMC","Lower middle income"
"BGD","Bangladesh","LMC","Lower middle income"
"BOL","Bolivia","LMC","Lower middle income"
"BTN","Bhutan","LMC","Lower middle income"
"CIV","Cote d'Ivoire","LMC","Lower middle income"
"CIV","Côte d'Ivoire","LMC","Lower middle income"
"CMR","Cameroon","LMC","Lower middle income"
"COG","Congo, Rep.","LMC","Lower middle income"
"COM","Comoros","LMC","Lower middle income"
"CPV","Cabo Verde","LMC","Lower middle income"
"DJI","Djibouti","LMC","Lower middle income"
"DZA","Algeria","LMC","Lower middle income"
"EGY","Egypt, Arab Rep.","LMC","Lower middle income"
"FSM","Micronesia, Fed. Sts.","LMC","Lower middle income"
"GHA","Ghana","LMC","Lower middle income"
"HND","Honduras","LMC","Lower middle income"
"IND","India","LMC","Lower middle income"
"KEN","Kenya","LMC","Lower middle income"
"KGZ","Kyrgyz Republic","LMC","Lower middle income"
"KHM","Cambodia","LMC","Lower middle income"
"KIR","Kiribati","LMC","Lower middle income"
"LAO","Lao PDR","LMC","Lower middle income"
"LKA","Sri Lanka","LMC","Lower middle income"
"LSO","Lesotho","LMC","Lower middle income"
"MAR","Morocco","LMC","Lower middle income"
"MDA","Moldova","LMC","Lower middle income"
"MMR","Myanmar","LMC","Lower middle income"
"MNG","Mongolia","LMC","Lower middle income"
"MRT","Mauritania","LMC","Lower middle income"
"NGA","Nigeria","LMC","Lower middle income"
"NIC","Nicaragua","LMC","Lower middle income"
"NPL","Nepal","LMC","Lower middle income"
"PAK","Pakistan","LMC","Lower middle income"
"PHL","Philippines","LMC","Lower middle income"
"PNG","Papua New Guinea","LMC","Lower middle income"
"PSE","West Bank and Gaza","LMC","Lower middle income"
"SEN","Senegal","LMC","Lower middle income"
"SLB","Solomon Islands","LMC","Lower middle income"
"SLV","El Salvador","LMC","Lower middle income"
"STP","Sao Tome and Principe","LMC","Lower middle income"
"STP","São Tomé and Principe","LMC","Lower middle income"
"SWZ","Eswatini","LMC","Lower middle income"
"TLS","Timor-Leste","LMC","Lower middle income"
"TUN","Tunisia","LMC","Lower middle income"
"TZA","Tanzania","LMC","Lower middle income"
"UKR","Ukraine","LMC","Lower middle income"
"UZB","Uzbekistan","LMC","Lower middle income"
"VNM","Vietnam","LMC","Lower middle income"
"VUT","Vanuatu","LMC","Lower middle income"
"ZMB","Zambia","LMC","Lower middle income"
"ZWE","Zimbabwe","LMC","Lower middle income"
"ARE","United Arab Emirates","MEA","Middle East & North Africa"
"BHR","Bahrain","MEA","Middle East & North Africa"
"DJI","Djibouti","MEA","Middle East & North Africa"
"DZA","Algeria","MEA","Middle East & North Africa"
"EGY","Egypt, Arab Rep.","MEA","Middle East & North Africa"
"IRN","Iran, Islamic Rep.","MEA","Middle East & North Africa"
"IRQ","Iraq","MEA","Middle East & North Africa"
"ISR","Israel","MEA","Middle East & North Africa"
"JOR","Jordan","MEA","Middle East & North Africa"
"KWT","Kuwait","MEA","Middle East & North Africa"
"LBN","Lebanon","MEA","Middle East & North Africa"
"LBY","Libya","MEA","Middle East & North Africa"
"MAR","Morocco","MEA","Middle East & North Africa"
"MLT","Malta","MEA","Middle East & North Africa"
"OMN","Oman","MEA","Middle East & North Africa"
"PSE","West Bank and Gaza","MEA","Middle East & North Africa"
"QAT","Qatar","MEA","Middle East & North Africa"
"SAU","Saudi Arabia","MEA","Middle East & North Africa"
"SYR","Syrian Arab Republic","MEA","Middle East & North Africa"
"TUN","Tunisia","MEA","Middle East & North Africa"
"YEM","Yemen, Rep.","MEA","Middle East & North Africa"
"BMU","Bermuda","NAC","North America"
"CAN","Canada","NAC","North America"
"USA","United States","NAC","North America"
"AUS","Australia","OED","OECD members"
"AUT","Austria","OED","OECD members"
"BEL","Belgium","OED","OECD members"
"CAN","Canada","OED","OECD members"
"CHE","Switzerland","OED","OECD members"
"CHL","Chile","OED","OECD members"
"CZE","Czech Republic","OED","OECD members"
"DEU","Germany","OED","OECD members"
"DNK","Denmark","OED","OECD members"
"ESP","Spain","OED","OECD members"
"EST","Estonia","OED","OECD members"
"FIN","Finland","OED","OECD members"
"FRA","France","OED","OECD members"
"GBR","United Kingdom","OED","OECD members"
"GRC","Greece","OED","OECD members"
"HUN","Hungary","OED","OECD members"
"IRL","Ireland","OED","OECD members"
"ISL","Iceland","OED","OECD members"
"ISR","Israel","OED","OECD members"
"ITA","Italy","OED","OECD members"
"JPN","Japan","OED","OECD members"
"KOR","Korea, Rep.","OED","OECD members"
"LTU","Lithuania","OED","OECD members"
"LUX","Luxembourg","OED","OECD members"
"LVA","Latvia","OED","OECD members"
"MEX","Mexico","OED","OECD members"
"NLD","Netherlands","OED","OECD members"
"NOR","Norway","OED","OECD members"
"NZL","New Zealand","OED","OECD members"
"POL","Poland","OED","OECD members"
"PRT","Portugal","OED","OECD members"
"SVK","Slovak Republic","OED","OECD members"
"SVN","Slovenia","OED","OECD members"
"SWE","Sweden","OED","OECD members"
"TUR","Turkey","OED","OECD members"
"USA","United States","OED","OECD members"
"AFG","Afghanistan","SAS","South Asia"
"BGD","Bangladesh","SAS","South Asia"
"BTN","Bhutan","SAS","South Asia"
"IND","India","SAS","South Asia"
"LKA","Sri Lanka","SAS","South Asia"
"MDV","Maldives","SAS","South Asia"
"NPL","Nepal","SAS","South Asia"
"PAK","Pakistan","SAS","South Asia"
"AGO","Angola","SSF","Sub-Saharan Africa"
"BDI","Burundi","SSF","Sub-Saharan Africa"
"BEN","Benin","SSF","Sub-Saharan Africa"
"BFA","Burkina Faso","SSF","Sub-Saharan Africa"
"BWA","Botswana","SSF","Sub-Saharan Africa"
"CAF","Central African Republic","SSF","Sub-Saharan Africa"
"CIV","Cote d'Ivoire","SSF","Sub-Saharan Africa"
"CMR","Cameroon","SSF","Sub-Saharan Africa"
"COD","Congo, Dem. Rep.","SSF","Sub-Saharan Africa"
"COG","Congo, Rep.","SSF","Sub-Saharan Africa"
"COM","Comoros","SSF","Sub-Saharan Africa"
"CPV","Cabo Verde","SSF","Sub-Saharan Africa"
"ERI","Eritrea","SSF","Sub-Saharan Africa"
"ETH","Ethiopia","SSF","Sub-Saharan Africa"
"GAB","Gabon","SSF","Sub-Saharan Africa"
"GHA","Ghana","SSF","Sub-Saharan Africa"
"GIN","Guinea","SSF","Sub-Saharan Africa"
"GMB","Gambia, The","SSF","Sub-Saharan Africa"
"GNB","Guinea-Bissau","SSF","Sub-Saharan Africa"
"GNQ","Equatorial Guinea","SSF","Sub-Saharan Africa"
"KEN","Kenya","SSF","Sub-Saharan Africa"
"LBR","Liberia","SSF","Sub-Saharan Africa"
"LSO","Lesotho","SSF","Sub-Saharan Africa"
"MDG","Madagascar","SSF","Sub-Saharan Africa"
"MLI","Mali","SSF","Sub-Saharan Africa"
"MOZ","Mozambique","SSF","Sub-Saharan Africa"
"MRT","Mauritania","SSF","Sub-Saharan Africa"
"MUS","Mauritius","SSF","Sub-Saharan Africa"
"MWI","Malawi","SSF","Sub-Saharan Africa"
"NAM","Namibia","SSF","Sub-Saharan Africa"
"NER","Niger","SSF","Sub-Saharan Africa"
"NGA","Nigeria","SSF","Sub-Saharan Africa"
"RWA","Rwanda","SSF","Sub-Saharan Africa"
"SDN","Sudan","SSF","Sub-Saharan Africa"
"SEN","Senegal","SSF","Sub-Saharan Africa"
"SLE","Sierra Leone","SSF","Sub-Saharan Africa"
"SOM","Somalia","SSF","Sub-Saharan Africa"
"SSD","South Sudan","SSF","Sub-Saharan Africa"
"STP","Sao Tome and Principe","SSF","Sub-Saharan Africa"
"SWZ","Eswatini","SSF","Sub-Saharan Africa"
"SYC","Seychelles","SSF","Sub-Saharan Africa"
"TCD","Chad","SSF","Sub-Saharan Africa"
"TGO","Togo","SSF","Sub-Saharan Africa"
"TZA","Tanzania","SSF","Sub-Saharan Africa"
"UGA","Uganda","SSF","Sub-Saharan Africa"
"ZAF","South Africa","SSF","Sub-Saharan Africa"
"ZMB","Zambia","SSF","Sub-Saharan Africa"
"ZWE","Zimbabwe","SSF","Sub-Saharan Africa"
"ALB","Albania","UMC","Upper middle income"
"ARG","Argentina","UMC","Upper middle income"
"ARM","Armenia","UMC","Upper middle income"
"ASM","American Samoa","UMC","Upper middle income"
"AZE","Azerbaijan","UMC","Upper middle income"
"BGR","Bulgaria","UMC","Upper middle income"
"BIH","Bosnia and Herzegovina","UMC","Upper middle income"
"BLR","Belarus","UMC","Upper middle income"
"BLZ","Belize","UMC","Upper middle income"
"BRA","Brazil","UMC","Upper middle income"
"BWA","Botswana","UMC","Upper middle income"
"CHN","China","UMC","Upper middle income"
"COL","Colombia","UMC","Upper middle income"
"CRI","Costa Rica","UMC","Upper middle income"
"CUB","Cuba","UMC","Upper middle income"
"DMA","Dominica","UMC","Upper middle income"
"DOM","Dominican Republic","UMC","Upper middle income"
"ECU","Ecuador","UMC","Upper middle income"
"FJI","Fiji","UMC","Upper middle income"
"GAB","Gabon","UMC","Upper middle income"
"GEO","Georgia","UMC","Upper middle income"
"GNQ","Equatorial Guinea","UMC","Upper middle income"
"GRD","Grenada","UMC","Upper middle income"
"GTM","Guatemala","UMC","Upper middle income"
"GUY","Guyana","UMC","Upper middle income"
"IDN","Indonesia","UMC","Upper middle income"
"IRN","Iran, Islamic Rep.","UMC","Upper middle income"
"IRQ","Iraq","UMC","Upper middle income"
"JAM","Jamaica","UMC","Upper middle income"
"JOR","Jordan","UMC","Upper middle income"
"KAZ","Kazakhstan","UMC","Upper middle income"
"LBN","Lebanon","UMC","Upper middle income"
"LBY","Libya","UMC","Upper middle income"
"LCA","St. Lucia","UMC","Upper middle income"
"MDV","Maldives","UMC","Upper middle income"
"MEX","Mexico","UMC","Upper middle income"
"MHL","Marshall Islands","UMC","Upper middle income"
"MKD","North Macedonia","UMC","Upper middle income"
"MNE","Montenegro","UMC","Upper middle income"
"MYS","Malaysia","UMC","Upper middle income"
"NAM","Namibia","UMC","Upper middle income"
"PER","Peru","UMC","Upper middle income"
"PRY","Paraguay","UMC","Upper middle income"
"RUS","Russian Federation","UMC","Upper middle income"
"SRB","Serbia","UMC","Upper middle income"
"SUR","Suriname","UMC","Upper middle income"
"THA","Thailand","UMC","Upper middle income"
"TKM","Turkmenistan","UMC","Upper middle income"
"TON","Tonga","UMC","Upper middle income"
"TUR","Turkey","UMC","Upper middle income"
"TUV","Tuvalu","UMC","Upper middle income"
"VCT","St. Vincent and the Grenadines","UMC","Upper middle income"
"VEN","Venezuela, RB","UMC","Upper middle income"
"WSM","Samoa","UMC","Upper middle income"
"XKX","Kosovo","UMC","Upper middle income"
"ZAF","South Africa","UMC","Upper middle income"
